ensembl,gene_symbol,DeepLOF_prediction,CoNeS_prediction,LOEUF_prediction,VIRLOF_prediction
ENSG00000004059,ARF5,TRUE,TRUE,TRUE,TRUE
ENSG00000004848,ARX,TRUE,TRUE,FALSE,FALSE
ENSG00000005022,SLC25A5,TRUE,TRUE,TRUE,TRUE
ENSG00000005073,HOXA11,TRUE,TRUE,TRUE,TRUE
ENSG00000013297,CLDN11,TRUE,TRUE,FALSE,FALSE
ENSG00000015153,YAF2,TRUE,TRUE,FALSE,FALSE
ENSG00000018610,CXorf56,TRUE,TRUE,TRUE,TRUE
ENSG00000019549,SNAI2,TRUE,FALSE,FALSE,TRUE
ENSG00000028839,TBPL1,TRUE,FALSE,FALSE,FALSE
ENSG00000029993,HMGB3,TRUE,TRUE,FALSE,FALSE
ENSG00000035862,TIMP2,TRUE,TRUE,FALSE,FALSE
ENSG00000040608,RTN4R,TRUE,FALSE,TRUE,FALSE
ENSG00000042753,AP2S1,TRUE,TRUE,FALSE,TRUE
ENSG00000046647,GEMIN8,TRUE,FALSE,TRUE,FALSE
ENSG00000047597,XK,TRUE,TRUE,TRUE,TRUE
ENSG00000048540,LMO3,TRUE,FALSE,FALSE,TRUE
ENSG00000054598,FOXC1,TRUE,TRUE,TRUE,TRUE
ENSG00000063978,RNF4,TRUE,FALSE,FALSE,FALSE
ENSG00000067560,RHOA,TRUE,FALSE,FALSE,TRUE
ENSG00000070087,PFN2,TRUE,FALSE,FALSE,FALSE
ENSG00000070193,FGF10,TRUE,FALSE,TRUE,TRUE
ENSG00000070831,CDC42,TRUE,TRUE,FALSE,TRUE
ENSG00000071082,RPL31,TRUE,TRUE,FALSE,FALSE
ENSG00000072506,HSD17B10,TRUE,TRUE,TRUE,TRUE
ENSG00000077721,UBE2A,TRUE,TRUE,FALSE,TRUE
ENSG00000081154,PCNP,FALSE,FALSE,FALSE,TRUE
ENSG00000083845,RPS5,TRUE,TRUE,TRUE,TRUE
ENSG00000086598,TMED2,TRUE,TRUE,FALSE,TRUE
ENSG00000087494,PTHLH,FALSE,TRUE,FALSE,FALSE
ENSG00000088832,FKBP1A,TRUE,FALSE,FALSE,FALSE
ENSG00000088986,DYNLL1,TRUE,FALSE,FALSE,FALSE
ENSG00000089486,CDIP1,FALSE,FALSE,FALSE,TRUE
ENSG00000090776,EFNB1,TRUE,TRUE,TRUE,FALSE
ENSG00000091010,POU4F3,TRUE,TRUE,FALSE,FALSE
ENSG00000094916,CBX5,TRUE,TRUE,FALSE,TRUE
ENSG00000099804,CDC34,TRUE,TRUE,TRUE,TRUE
ENSG00000099942,CRKL,FALSE,TRUE,FALSE,FALSE
ENSG00000100027,YPEL1,TRUE,FALSE,FALSE,FALSE
ENSG00000100028,SNRPD3,TRUE,TRUE,FALSE,TRUE
ENSG00000100387,RBX1,TRUE,TRUE,TRUE,TRUE
ENSG00000100410,PHF5A,TRUE,FALSE,FALSE,TRUE
ENSG00000100528,CNIH1,TRUE,FALSE,FALSE,FALSE
ENSG00000100632,ERH,TRUE,TRUE,FALSE,TRUE
ENSG00000100804,PSMB5,TRUE,FALSE,TRUE,FALSE
ENSG00000101152,DNAJC5,TRUE,TRUE,FALSE,TRUE
ENSG00000101189,MRGBP,TRUE,TRUE,FALSE,TRUE
ENSG00000101421,CHMP4B,TRUE,TRUE,TRUE,TRUE
ENSG00000101888,NXT2,TRUE,FALSE,FALSE,FALSE
ENSG00000101911,PRPS2,TRUE,TRUE,TRUE,TRUE
ENSG00000101928,MOSPD1,TRUE,TRUE,FALSE,TRUE
ENSG00000102030,NAA10,TRUE,TRUE,FALSE,TRUE
ENSG00000102096,PIM2,TRUE,TRUE,TRUE,FALSE
ENSG00000102100,SLC35A2,TRUE,TRUE,FALSE,FALSE
ENSG00000102103,PQBP1,TRUE,TRUE,FALSE,TRUE
ENSG00000102104,RS1,TRUE,TRUE,TRUE,FALSE
ENSG00000102145,GATA1,TRUE,TRUE,TRUE,TRUE
ENSG00000102218,RP2,TRUE,TRUE,TRUE,FALSE
ENSG00000102239,BRS3,TRUE,TRUE,TRUE,FALSE
ENSG00000102245,CD40LG,FALSE,TRUE,FALSE,FALSE
ENSG00000102309,PIN4,FALSE,TRUE,FALSE,FALSE
ENSG00000102678,FGF9,TRUE,TRUE,TRUE,TRUE
ENSG00000102898,NUTF2,TRUE,TRUE,TRUE,TRUE
ENSG00000103241,FOXF1,TRUE,TRUE,TRUE,TRUE
ENSG00000104140,RHOV,FALSE,TRUE,FALSE,FALSE
ENSG00000104432,IL7,FALSE,TRUE,FALSE,FALSE
ENSG00000104490,NCALD,TRUE,FALSE,FALSE,FALSE
ENSG00000105193,RPS16,TRUE,FALSE,FALSE,FALSE
ENSG00000105372,RPS19,TRUE,TRUE,FALSE,FALSE
ENSG00000105649,RAB3A,TRUE,TRUE,TRUE,TRUE
ENSG00000105887,MTPN,TRUE,TRUE,FALSE,TRUE
ENSG00000106031,HOXA13,TRUE,TRUE,TRUE,FALSE
ENSG00000107223,EDF1,TRUE,TRUE,FALSE,FALSE
ENSG00000107807,TLX1,FALSE,TRUE,FALSE,FALSE
ENSG00000107859,PITX3,TRUE,TRUE,FALSE,FALSE
ENSG00000108294,NA,TRUE,FALSE,TRUE,FALSE
ENSG00000108518,PFN1,TRUE,FALSE,FALSE,FALSE
ENSG00000108924,HLF,TRUE,TRUE,TRUE,TRUE
ENSG00000109099,PMP22,TRUE,FALSE,FALSE,FALSE
ENSG00000109132,PHOX2B,TRUE,TRUE,TRUE,TRUE
ENSG00000109332,UBE2D3,TRUE,FALSE,FALSE,FALSE
ENSG00000109475,RPL34,TRUE,FALSE,FALSE,FALSE
ENSG00000111269,CREBL2,TRUE,FALSE,FALSE,TRUE
ENSG00000111875,ASF1A,TRUE,FALSE,FALSE,TRUE
ENSG00000112137,PHACTR1,FALSE,TRUE,FALSE,FALSE
ENSG00000112245,PTP4A1,TRUE,FALSE,FALSE,FALSE
ENSG00000112306,RPS12,TRUE,FALSE,FALSE,TRUE
ENSG00000112335,SNX3,TRUE,FALSE,FALSE,FALSE
ENSG00000113068,PFDN1,FALSE,TRUE,FALSE,FALSE
ENSG00000113387,SUB1,TRUE,FALSE,FALSE,TRUE
ENSG00000113558,SKP1,TRUE,FALSE,FALSE,FALSE
ENSG00000114315,HES1,TRUE,TRUE,FALSE,FALSE
ENSG00000114503,NCBP2,TRUE,FALSE,FALSE,FALSE
ENSG00000114784,EIF1B,TRUE,FALSE,FALSE,FALSE
ENSG00000114850,SSR3,FALSE,TRUE,FALSE,FALSE
ENSG00000114854,TNNC1,TRUE,FALSE,FALSE,TRUE
