Gene ID,Essentiality test
ENSG00000000419,Non-essential
ENSG00000000457,Non-essential
ENSG00000000460,Non-essential
ENSG00000000938,Non-essential
ENSG00000000971,Non-essential
ENSG00000001036,Non-essential
ENSG00000001084,Essential
ENSG00000001167,Essential
ENSG00000001460,Non-essential
ENSG00000001461,Non-essential
ENSG00000001561,Non-essential
ENSG00000001617,Non-essential
ENSG00000001626,Essential
ENSG00000001629,Non-essential
ENSG00000001630,Essential
ENSG00000001631,Essential
ENSG00000002016,Non-essential
ENSG00000002330,Non-essential
ENSG00000002549,Non-essential
ENSG00000002587,Essential
ENSG00000002726,Non-essential
ENSG00000002745,Non-essential
ENSG00000002746,Non-essential
ENSG00000002822,Essential
ENSG00000002834,Non-essential
ENSG00000002919,Non-essential
ENSG00000002933,Non-essential
ENSG00000003056,Essential
ENSG00000003137,Essential
ENSG00000003147,Non-essential
ENSG00000003249,Non-essential
ENSG00000003393,Non-essential
ENSG00000003400,Non-essential
ENSG00000003402,Essential
ENSG00000003436,Essential
ENSG00000003509,Essential
ENSG00000003756,Essential
ENSG00000003987,Non-essential
ENSG00000003989,Non-essential
ENSG00000004059,Non-essential
ENSG00000004139,Non-essential
ENSG00000004142,Non-essential
ENSG00000004399,Essential
ENSG00000004455,Essential
ENSG00000004468,Non-essential
ENSG00000004478,Essential
ENSG00000004487,Essential
ENSG00000004534,Non-essential
ENSG00000004660,Non-essential
ENSG00000004700,Non-essential
ENSG00000004766,Non-essential
ENSG00000004776,Non-essential
ENSG00000004777,Non-essential
ENSG00000004779,Essential
ENSG00000004799,Non-essential
ENSG00000004809,Non-essential
ENSG00000004838,Non-essential
ENSG00000004846,Non-essential
ENSG00000004864,Non-essential
ENSG00000004866,Non-essential
ENSG00000004897,Essential
ENSG00000004939,Essential
ENSG00000004948,Essential
ENSG00000004975,Essential
ENSG00000005001,Non-essential
ENSG00000005007,Essential
ENSG00000005020,Non-essential
ENSG00000005059,Non-essential
ENSG00000005073,Non-essential
ENSG00000005075,Non-essential
ENSG00000005100,Essential
ENSG00000005102,Non-essential
ENSG00000005108,Non-essential
ENSG00000005156,Essential
ENSG00000005175,Essential
ENSG00000005187,Non-essential
ENSG00000005189,Non-essential
ENSG00000005194,Essential
ENSG00000005206,Non-essential
ENSG00000005238,Non-essential
ENSG00000005243,Non-essential
ENSG00000005249,Non-essential
ENSG00000005339,Essential
ENSG00000005379,Non-essential
ENSG00000005381,Non-essential
ENSG00000005421,Non-essential
ENSG00000005436,Non-essential
ENSG00000005448,Non-essential
ENSG00000005469,Non-essential
ENSG00000005471,Non-essential
ENSG00000005483,Essential
ENSG00000005486,Non-essential
ENSG00000005513,Non-essential
ENSG00000005700,Non-essential
ENSG00000005801,Non-essential
ENSG00000005810,Essential
ENSG00000005812,Non-essential
ENSG00000005844,Non-essential
ENSG00000005882,Non-essential
ENSG00000005884,Essential
ENSG00000005961,Non-essential
ENSG00000005981,Non-essential
ENSG00000006007,Non-essential
ENSG00000006015,Non-essential
ENSG00000006016,Essential
ENSG00000006025,Non-essential
ENSG00000006042,Non-essential
ENSG00000006047,Non-essential
ENSG00000006059,Non-essential
ENSG00000006062,Non-essential
ENSG00000006071,Non-essential
ENSG00000006116,Non-essential
ENSG00000006118,Non-essential
ENSG00000006125,Non-essential
ENSG00000006128,Non-essential
ENSG00000006194,Non-essential
ENSG00000006210,Non-essential
ENSG00000006282,Non-essential
ENSG00000006283,Non-essential
ENSG00000006327,Non-essential
ENSG00000006377,Essential
ENSG00000006432,Non-essential
ENSG00000006451,Non-essential
ENSG00000006453,Non-essential
ENSG00000006459,Non-essential
ENSG00000006468,Non-essential
ENSG00000006530,Non-essential
ENSG00000006534,Non-essential
ENSG00000006555,Non-essential
ENSG00000006576,Non-essential
ENSG00000006606,Non-essential
ENSG00000006607,Non-essential
ENSG00000006611,Non-essential
ENSG00000006625,Non-essential
ENSG00000006634,Essential
ENSG00000006638,Non-essential
ENSG00000006652,Non-essential
ENSG00000006659,Non-essential
ENSG00000006695,Essential
ENSG00000006704,Essential
ENSG00000006712,Essential
ENSG00000006715,Non-essential
ENSG00000006740,Non-essential
ENSG00000006744,Essential
ENSG00000006747,Non-essential
ENSG00000006788,Non-essential
ENSG00000006831,Non-essential
ENSG00000006837,Non-essential
ENSG00000007001,Non-essential
ENSG00000007038,Non-essential
ENSG00000007047,Non-essential
ENSG00000007062,Non-essential
ENSG00000007080,Non-essential
ENSG00000007129,Non-essential
ENSG00000007168,Essential
ENSG00000007171,Non-essential
ENSG00000007174,Non-essential
ENSG00000007202,Essential
ENSG00000007216,Non-essential
ENSG00000007237,Non-essential
ENSG00000007255,Non-essential
ENSG00000007264,Non-essential
ENSG00000007306,Non-essential
ENSG00000007312,Non-essential
ENSG00000007314,Essential
ENSG00000007341,Non-essential
ENSG00000007372,Essential
ENSG00000007376,Non-essential
ENSG00000007384,Non-essential
ENSG00000007392,Non-essential
ENSG00000007402,Essential
ENSG00000007516,Non-essential
ENSG00000007520,Non-essential
ENSG00000007541,Non-essential
ENSG00000007545,Non-essential
ENSG00000007866,Non-essential
ENSG00000007908,Non-essential
ENSG00000007923,Essential
ENSG00000007933,Non-essential
ENSG00000007944,Non-essential
ENSG00000007968,Non-essential
ENSG00000008018,Essential
ENSG00000008083,Essential
ENSG00000008118,Non-essential
ENSG00000008128,Non-essential
ENSG00000008130,Essential
ENSG00000008196,Essential
ENSG00000008197,Non-essential
ENSG00000008226,Non-essential
ENSG00000008256,Non-essential
ENSG00000008277,Essential
ENSG00000008282,Non-essential
ENSG00000008283,Non-essential
ENSG00000008294,Non-essential
ENSG00000008300,Essential
ENSG00000008311,Non-essential
ENSG00000008323,Non-essential
ENSG00000008324,Non-essential
ENSG00000008382,Non-essential
ENSG00000008394,Non-essential
ENSG00000008405,Non-essential
ENSG00000008438,Non-essential
ENSG00000008441,Essential
ENSG00000008513,Non-essential
ENSG00000008516,Non-essential
ENSG00000008517,Non-essential
ENSG00000008710,Essential
ENSG00000008735,Non-essential
ENSG00000008838,Essential
ENSG00000008853,Non-essential
ENSG00000008869,Non-essential
ENSG00000008952,Essential
ENSG00000008988,Essential
ENSG00000009307,Essential
ENSG00000009335,Non-essential
ENSG00000009413,Essential
ENSG00000009709,Essential
ENSG00000009724,Non-essential
ENSG00000009765,Non-essential
ENSG00000009780,Non-essential
ENSG00000009790,Non-essential
ENSG00000009830,Non-essential
ENSG00000009844,Non-essential
ENSG00000009950,Non-essential
ENSG00000009954,Essential
ENSG00000010017,Essential
ENSG00000010030,Non-essential
ENSG00000010072,Essential
ENSG00000010165,Non-essential
ENSG00000010219,Non-essential
ENSG00000010244,Essential
ENSG00000010256,Essential
ENSG00000010270,Non-essential
ENSG00000010278,Non-essential
ENSG00000010282,Non-essential
ENSG00000010292,Essential
ENSG00000010295,Non-essential
ENSG00000010310,Non-essential
ENSG00000010318,Non-essential
ENSG00000010319,Non-essential
ENSG00000010322,Non-essential
ENSG00000010327,Non-essential
ENSG00000010361,Essential
ENSG00000010379,Non-essential
ENSG00000010438,Non-essential
ENSG00000010539,Non-essential
ENSG00000010610,Non-essential
ENSG00000010626,Non-essential
ENSG00000010704,Non-essential
ENSG00000010803,Non-essential
ENSG00000010810,Non-essential
ENSG00000010818,Non-essential
ENSG00000010932,Non-essential
ENSG00000011007,Essential
ENSG00000011009,Non-essential
ENSG00000011021,Non-essential
ENSG00000011028,Non-essential
ENSG00000011052,Essential
ENSG00000011083,Non-essential
ENSG00000011105,Non-essential
ENSG00000011114,Non-essential
