ensembl	DeepLOF_score
ENSG00000000003	0.5156771
ENSG00000000005	0.42461097
ENSG00000000419	0.5711893
ENSG00000000457	0.6899021
ENSG00000000460	0.4251547
ENSG00000000938	0.7391347
ENSG00000000971	0.77570885
ENSG00000001036	0.3779739
ENSG00000001084	0.7543434
ENSG00000001167	0.75133866
ENSG00000001460	0.23689222
ENSG00000001461	0.4664935
ENSG00000001497	0.94044167
ENSG00000001561	0.6312693
ENSG00000001617	0.8804264
ENSG00000001626	0.081985354
ENSG00000001629	0.8813907
ENSG00000001630	0.5120121
ENSG00000001631	0.6807904
ENSG00000002016	0.2894047
ENSG00000002330	0.53052163
ENSG00000002549	0.41118348
ENSG00000002586	0.47165418
ENSG00000002587	0.38794947
ENSG00000002726	0.30967963
ENSG00000002745	0.3464719
ENSG00000002746	0.82499576
ENSG00000002822	0.30136043
ENSG00000002834	0.893238
ENSG00000002919	0.3512122
ENSG00000002933	0.51636714
ENSG00000003056	0.55761075
ENSG00000003096	0.6414478
ENSG00000003137	0.8755547
ENSG00000003147	0.61589617
ENSG00000003249	0.3450225
ENSG00000003393	0.5996268
ENSG00000003400	0.21578372
ENSG00000003402	0.9145802
ENSG00000003436	0.6998153
ENSG00000003509	0.10765159
ENSG00000003756	0.92972594
ENSG00000003987	0.2941233
ENSG00000003989	0.33042663
ENSG00000004059	0.8969364
ENSG00000004139	0.2505713
ENSG00000004142	0.7405425
ENSG00000004399	0.90089744
ENSG00000004455	0.41003144
ENSG00000004468	0.34768945
ENSG00000004478	0.7135074
ENSG00000004487	0.8408878
ENSG00000004534	0.9252403
ENSG00000004660	0.5837165
ENSG00000004700	0.15139663
ENSG00000004766	0.7585285
ENSG00000004776	0.53216946
ENSG00000004777	0.7117031
ENSG00000004779	0.74175537
ENSG00000004799	0.2669837
ENSG00000004809	0.045561492
ENSG00000004838	0.39668024
ENSG00000004846	0.09428394
ENSG00000004848	0.91411304
ENSG00000004864	0.15012968
ENSG00000004866	0.8482811
ENSG00000004897	0.8454331
ENSG00000004939	0.7399184
ENSG00000004948	0.33509284
ENSG00000004961	0.8444897
ENSG00000004975	0.5824312
ENSG00000005001	0.30506897
ENSG00000005007	0.9174569
ENSG00000005020	0.6033871
ENSG00000005022	0.92336124
ENSG00000005059	0.2491802
ENSG00000005073	0.95130277
ENSG00000005075	0.46887612
ENSG00000005100	0.5087214
ENSG00000005102	0.49192476
ENSG00000005108	0.85204387
ENSG00000005156	0.50772744
ENSG00000005175	0.55450714
ENSG00000005187	0.22645915
ENSG00000005189	0.34343636
ENSG00000005194	0.46545118
ENSG00000005238	0.7627225
ENSG00000005243	0.21719152
ENSG00000005249	0.90860933
ENSG00000005302	0.961019
ENSG00000005339	0.9697121
ENSG00000005379	0.7370806
ENSG00000005381	0.22699201
ENSG00000005421	0.17498112
ENSG00000005436	0.16449994
ENSG00000005448	0.2562703
ENSG00000005469	0.15036333
ENSG00000005471	0.6171941
ENSG00000005483	0.9773251
ENSG00000005486	0.70962894
ENSG00000005513	0.84253335
ENSG00000005700	0.6917843
ENSG00000005801	0.43180645
ENSG00000005810	0.91888815
ENSG00000005812	0.893996
ENSG00000005844	0.701957
ENSG00000005882	0.42412317
ENSG00000005884	0.62471914
ENSG00000005889	0.94976604
ENSG00000005893	0.68527603
ENSG00000005955	0.978111
ENSG00000005961	0.43750918
ENSG00000005981	0.18486726
ENSG00000006007	0.40779167
ENSG00000006015	0.389001
ENSG00000006016	0.54977256
ENSG00000006025	0.6850655
ENSG00000006042	0.5795902
ENSG00000006047	0.9271562
ENSG00000006059	0.048476994
ENSG00000006071	0.379713
ENSG00000006074	0.16232938
ENSG00000006075	0.5044669
ENSG00000006114	0.76492167
ENSG00000006116	0.9077141
ENSG00000006118	0.43511522
ENSG00000006125	0.8492441
ENSG00000006128	0.72218645
ENSG00000006194	0.4757495
ENSG00000006210	0.73565245
ENSG00000006282	0.48957968
ENSG00000006283	0.852944
ENSG00000006327	0.5066854
ENSG00000006377	0.8964094
ENSG00000006432	0.7177626
ENSG00000006451	0.91293204
ENSG00000006453	0.56047285
ENSG00000006459	0.87589
ENSG00000006468	0.8273183
ENSG00000006530	0.33231175
ENSG00000006534	0.3801384
ENSG00000006555	0.36329877
ENSG00000006576	0.6307681
ENSG00000006606	0.24417007
ENSG00000006607	0.17975736
ENSG00000006611	0.3498696
ENSG00000006625	0.29282832
ENSG00000006634	0.8216803
ENSG00000006638	0.3090247
ENSG00000006652	0.6200483
ENSG00000006659	0.19545555
ENSG00000006695	0.50332725
ENSG00000006704	0.78331167
ENSG00000006712	0.6236526
ENSG00000006715	0.35553914
ENSG00000006740	0.86229944
ENSG00000006744	0.24188757
ENSG00000006747	0.07803726
ENSG00000006756	0.47786176
ENSG00000006757	0.35375208
ENSG00000006788	0.21388757
ENSG00000006831	0.7075878
ENSG00000006837	0.21260083
ENSG00000007001	0.4485777
ENSG00000007038	0.19560158
ENSG00000007047	0.8519514
ENSG00000007062	0.21222878
ENSG00000007080	0.57236505
ENSG00000007129	0.1738748
ENSG00000007168	0.97338825
ENSG00000007171	0.41437244
ENSG00000007174	0.36781532
ENSG00000007202	0.67656153
ENSG00000007216	0.20037943
ENSG00000007237	0.78053284
ENSG00000007255	0.25069666
ENSG00000007264	0.4071434
ENSG00000007306	0.15864992
ENSG00000007312	0.7848529
ENSG00000007314	0.7246135
ENSG00000007341	0.42434287
ENSG00000007350	0.94340223
ENSG00000007372	0.94914305
ENSG00000007376	0.18079025
ENSG00000007384	0.34150517
ENSG00000007392	0.74448884
ENSG00000007402	0.8463533
ENSG00000007516	0.20889348
ENSG00000007520	0.4062519
ENSG00000007541	0.44592792
ENSG00000007545	0.712303
ENSG00000007866	0.88793045
ENSG00000007908	0.33832455
ENSG00000007923	0.87167037
ENSG00000007933	0.09751743
ENSG00000007944	0.72904676
ENSG00000007952	0.2502898
ENSG00000007968	0.72832394
ENSG00000008018	0.9417485
ENSG00000008056	0.89120126
ENSG00000008083	0.91721624
ENSG00000008086	0.8847544
ENSG00000008118	0.52906525
ENSG00000008128	0.16706657
ENSG00000008130	0.32006127
ENSG00000008196	0.9018235
ENSG00000008197	0.8982564
ENSG00000008226	0.23735964
ENSG00000008256	0.78793734
ENSG00000008277	0.7580389
ENSG00000008282	0.6288495
ENSG00000008283	0.73068476
ENSG00000008294	0.92312723
ENSG00000008300	0.81938237
ENSG00000008311	0.40781128
ENSG00000008323	0.24143243
ENSG00000008324	0.38518083
ENSG00000008382	0.42176527
ENSG00000008394	0.3372478
ENSG00000008405	0.4745475
ENSG00000008438	0.13313234
ENSG00000008441	0.9591816
ENSG00000008513	0.7245797
ENSG00000008516	0.18876219
ENSG00000008517	0.21181262
ENSG00000008710	0.8727141
ENSG00000008735	0.9574338
ENSG00000008838	0.5071167
ENSG00000008853	0.6689361
ENSG00000008869	0.48978007
ENSG00000008952	0.83207285
ENSG00000008988	0.6836955
ENSG00000009307	0.93437076
ENSG00000009335	0.88043916
ENSG00000009413	0.92638266
ENSG00000009694	0.87342143
ENSG00000009709	0.75513566
ENSG00000009724	0.17927456
ENSG00000009765	0.30571342
ENSG00000009780	0.4600746
ENSG00000009790	0.3722604
ENSG00000009830	0.41361415
ENSG00000009844	0.4492494
ENSG00000009950	0.71543896
ENSG00000009954	0.94813937
ENSG00000010017	0.95307773
ENSG00000010030	0.22480142
ENSG00000010072	0.8961395
ENSG00000010165	0.3440538
ENSG00000010219	0.1719209
ENSG00000010244	0.73215497
ENSG00000010256	0.6574478
ENSG00000010270	0.49838597
ENSG00000010278	0.6163399
ENSG00000010282	0.4129902
ENSG00000010292	0.55345064
ENSG00000010295	0.53261507
ENSG00000010310	0.09572971
ENSG00000010318	0.53904366
ENSG00000010319	0.2335167
ENSG00000010322	0.809838
ENSG00000010327	0.3120497
ENSG00000010361	0.42575532
ENSG00000010379	0.25780475
ENSG00000010404	0.9487512
ENSG00000010438	0.11143136
ENSG00000010539	0.37142277
ENSG00000010610	0.5359241
ENSG00000010626	0.26489806
ENSG00000010671	0.9673317
ENSG00000010704	0.24536717
ENSG00000010803	0.58551455
ENSG00000010810	0.8994155
ENSG00000010818	0.9667108
ENSG00000010932	0.2012645
ENSG00000011007	0.9390314
ENSG00000011009	0.8746165
ENSG00000011021	0.55269873
ENSG00000011028	0.7667308
ENSG00000011052	0.2165128
ENSG00000011083	0.33576167
ENSG00000011105	0.73163086
ENSG00000011114	0.6510737
ENSG00000011132	0.21849442
ENSG00000011143	0.30735636
ENSG00000011198	0.39673513
ENSG00000011201	0.8730761
ENSG00000011243	0.6790458
ENSG00000011258	0.9782512
ENSG00000011260	0.6367105
ENSG00000011275	0.6025825
ENSG00000011295	0.36117363
ENSG00000011304	0.92956865
ENSG00000011332	0.8552039
ENSG00000011347	0.8450613
ENSG00000011376	0.3119198
ENSG00000011405	0.74081016
ENSG00000011422	0.49189067
ENSG00000011426	0.72824764
ENSG00000011451	0.8806548
ENSG00000011454	0.95725495
ENSG00000011465	0.7129524
ENSG00000011478	0.24795866
ENSG00000011485	0.8933348
ENSG00000011523	0.69515216
ENSG00000011566	0.75436044
ENSG00000011590	0.50477743
ENSG00000011600	0.7089316
ENSG00000011638	0.30241823
ENSG00000011677	0.57820815
ENSG00000012048	0.27370644
ENSG00000012061	0.36891884
ENSG00000012124	0.76251704
ENSG00000012174	0.95336026
ENSG00000012211	0.7518662
