ensembl,gene_symbol,DeepLOF_score
ENSG00000000003,TSPAN6,0.431136
ENSG00000000005,TNMD,0.4819911
ENSG00000000419,DPM1,0.6042821
ENSG00000000457,SCYL3,0.6856313
ENSG00000000460,C1orf112,0.40926027
ENSG00000000938,FGR,0.75832844
ENSG00000000971,CFH,0.77855146
ENSG00000001036,FUCA2,0.35219765
ENSG00000001084,GCLC,0.7863235
ENSG00000001167,NFYA,0.8142838
ENSG00000001460,STPG1,0.17256933
ENSG00000001461,NIPAL3,0.45920157
ENSG00000001497,LAS1L,0.93881893
ENSG00000001561,ENPP4,0.6557009
ENSG00000001617,SEMA3F,0.88526005
ENSG00000001626,CFTR,0.047685146
ENSG00000001629,ANKIB1,0.8846103
ENSG00000001630,CYP51A1,0.46317124
ENSG00000001631,KRIT1,0.69491875
ENSG00000002016,RAD52,0.3007651
ENSG00000002330,BAD,0.33172476
ENSG00000002549,LAP3,0.46778083
ENSG00000002586,CD99,0.30418086
ENSG00000002587,HS3ST1,0.58274597
ENSG00000002726,AOC1,0.30126476
ENSG00000002745,WNT16,0.3576572
ENSG00000002746,HECW1,0.82452255
ENSG00000002822,MAD1L1,0.31115788
ENSG00000002834,LASP1,0.9108886
ENSG00000002919,SNX11,0.33455855
ENSG00000002933,TMEM176A,0.38920003
ENSG00000003056,M6PR,0.6075101
ENSG00000003096,KLHL13,0.72640806
ENSG00000003137,CYP26B1,0.8558175
ENSG00000003147,ICA1,0.67609024
ENSG00000003249,DBNDD1,0.36442256
ENSG00000003393,ALS2,0.60194707
ENSG00000003400,CASP10,0.17286253
ENSG00000003402,CFLAR,0.9144562
ENSG00000003436,TFPI,0.68940806
ENSG00000003509,NDUFAF7,0.14916003
ENSG00000003756,RBM5,0.93273073
ENSG00000003987,MTMR7,0.32746828
ENSG00000003989,SLC7A2,0.3759693
ENSG00000004059,ARF5,0.9472504
ENSG00000004139,SARM1,0.35538453
ENSG00000004142,POLDIP2,0.7184576
ENSG00000004399,PLXND1,0.9008861
ENSG00000004455,AK2,0.43709493
ENSG00000004468,CD38,0.30394614
ENSG00000004478,FKBP4,0.7195672
ENSG00000004487,KDM1A,0.8602553
ENSG00000004534,RBM6,0.91877246
ENSG00000004660,CAMKK1,0.63895845
ENSG00000004700,RECQL,0.12945807
ENSG00000004766,CCDC132,0.76533234
ENSG00000004776,HSPB6,0.44548035
ENSG00000004777,ARHGAP33,0.7202395
ENSG00000004779,NDUFAB1,0.69915456
ENSG00000004799,PDK4,0.24547333
ENSG00000004809,SLC22A16,0.0541929
ENSG00000004838,ZMYND10,0.44249034
ENSG00000004846,ABCB5,0.08225739
ENSG00000004848,ARX,0.89685076
ENSG00000004864,SLC25A13,0.21126807
ENSG00000004866,ST7,0.86917496
ENSG00000004897,CDC27,0.84678996
ENSG00000004939,SLC4A1,0.77243435
ENSG00000004948,CALCR,0.3170892
ENSG00000004961,HCCS,0.8592665
ENSG00000004975,DVL2,0.58388394
ENSG00000005001,PRSS22,0.47059703
ENSG00000005007,UPF1,0.92601687
ENSG00000005020,SKAP2,0.6481465
ENSG00000005022,SLC25A5,0.9509792
ENSG00000005059,CCDC109B,0.20037621
ENSG00000005073,HOXA11,0.89661837
ENSG00000005075,POLR2J,0.50637406
ENSG00000005100,DHX33,0.5214024
ENSG00000005102,MEOX1,0.32220656
ENSG00000005108,THSD7A,0.8452343
ENSG00000005156,LIG3,0.5214395
ENSG00000005175,RPAP3,0.5196979
ENSG00000005187,ACSM3,0.21063077
ENSG00000005189,AC004381.6,0.3920926
ENSG00000005194,CIAPIN1,0.50843793
ENSG00000005238,FAM214B,0.7832673
ENSG00000005243,COPZ2,0.33153504
ENSG00000005249,PRKAR2B,0.898851
ENSG00000005302,MSL3,0.9371376
ENSG00000005339,CREBBP,0.96957284
ENSG00000005379,BZRAP1,0.726081
ENSG00000005381,MPO,0.2582301
ENSG00000005421,PON1,0.19904888
ENSG00000005436,GCFC2,0.17967731
ENSG00000005448,WDR54,0.27547705
ENSG00000005469,CROT,0.12692422
ENSG00000005471,ABCB4,0.6336537
ENSG00000005483,KMT2E,0.972301
ENSG00000005486,RHBDD2,0.6192806
ENSG00000005513,SOX8,0.7601971
ENSG00000005700,IBTK,0.7106041
ENSG00000005801,ZNF195,0.5533085
ENSG00000005810,MYCBP2,0.9156226
ENSG00000005812,FBXL3,0.9145053
ENSG00000005844,ITGAL,0.704939
ENSG00000005882,PDK2,0.4945377
ENSG00000005884,ITGA3,0.6364565
ENSG00000005889,ZFX,0.9569827
ENSG00000005893,LAMP2,0.69354594
ENSG00000005955,NA,0.97032034
ENSG00000005961,ITGA2B,0.44328684
ENSG00000005981,ASB4,0.12405914
ENSG00000006007,GDE1,0.402359
ENSG00000006015,C19orf60,0.35926163
ENSG00000006016,CRLF1,0.47372437
ENSG00000006025,OSBPL7,0.70597184
ENSG00000006042,TMEM98,0.56422347
ENSG00000006047,YBX2,0.89395785
ENSG00000006059,KRT33A,0.06634796
ENSG00000006071,ABCC8,0.44164252
ENSG00000006074,NA,0.100030124
ENSG00000006075,NA,0.27948636
ENSG00000006114,NA,0.76320475
ENSG00000006116,CACNG3,0.9400131
ENSG00000006118,TMEM132A,0.3551749
ENSG00000006125,AP2B1,0.8749447
ENSG00000006128,TAC1,0.72591525
ENSG00000006194,ZNF263,0.54007983
ENSG00000006210,CX3CL1,0.65466785
ENSG00000006282,SPATA20,0.43391347
ENSG00000006283,CACNA1G,0.8566825
ENSG00000006327,TNFRSF12A,0.3960393
ENSG00000006377,DLX6,0.92568296
ENSG00000006432,MAP3K9,0.72185755
ENSG00000006451,RALA,0.9628797
ENSG00000006453,BAIAP2L1,0.56556225
ENSG00000006459,KDM7A,0.8701301
ENSG00000006468,ETV1,0.8272552
ENSG00000006530,AGK,0.28956407
ENSG00000006534,ALDH3B1,0.44377053
ENSG00000006555,TTC22,0.25392413
ENSG00000006576,PHTF2,0.6806813
ENSG00000006606,CCL26,0.14042723
ENSG00000006607,FARP2,0.16175395
ENSG00000006611,USH1C,0.29070288
ENSG00000006625,GGCT,0.24971038
ENSG00000006634,DBF4,0.82836866
ENSG00000006638,TBXA2R,0.31357205
ENSG00000006652,IFRD1,0.64058083
ENSG00000006659,LGALS14,0.122485936
ENSG00000006695,COX10,0.53270984
ENSG00000006704,GTF2IRD1,0.7856647
ENSG00000006712,PAF1,0.68842113
ENSG00000006715,VPS41,0.38177866
ENSG00000006740,ARHGAP44,0.8618316
ENSG00000006744,ELAC2,0.26551497
ENSG00000006747,SCIN,0.07900226
ENSG00000006756,ARSD,0.51620024
ENSG00000006757,PNPLA4,0.25880665
ENSG00000006788,MYH13,0.18658876
ENSG00000006831,ADIPOR2,0.81662047
ENSG00000006837,CDKL3,0.19899583
ENSG00000007001,UPP2,0.38119936
ENSG00000007038,PRSS21,0.19901723
ENSG00000007047,MARK4,0.87249917
ENSG00000007062,PROM1,0.15787208
ENSG00000007080,CCDC124,0.5416091
ENSG00000007129,CEACAM21,0.1162281
ENSG00000007168,PAFAH1B1,0.98080724
ENSG00000007171,NOS2,0.45025492
ENSG00000007174,DNAH9,0.36340773
ENSG00000007202,KIAA0100,0.677034
ENSG00000007216,SLC13A2,0.19922566
ENSG00000007237,GAS7,0.8122022
ENSG00000007255,TRAPPC6A,0.23105419
ENSG00000007264,MATK,0.53237975
ENSG00000007306,CEACAM7,0.11317587
ENSG00000007312,CD79B,0.8516948
ENSG00000007314,SCN4A,0.7278082
ENSG00000007341,ST7L,0.33300054
ENSG00000007350,TKTL1,0.91891325
ENSG00000007372,PAX6,0.9527966
ENSG00000007376,RPUSD1,0.13509095
ENSG00000007384,RHBDF1,0.4124173
ENSG00000007392,LUC7L,0.814767
ENSG00000007402,CACNA2D2,0.8468281
ENSG00000007516,BAIAP3,0.16994584
ENSG00000007520,TSR3,0.30730098
ENSG00000007541,PIGQ,0.37675261
ENSG00000007545,CRAMP1L,0.7281613
ENSG00000007866,TEAD3,0.8959214
ENSG00000007908,SELE,0.31445354
ENSG00000007923,DNAJC11,0.87199205
ENSG00000007933,FMO3,0.07952249
ENSG00000007944,MYLIP,0.74837357
ENSG00000007952,NOX1,0.20582676
ENSG00000007968,E2F2,0.7045493
ENSG00000008018,PSMB1,0.9261894
ENSG00000008056,SYN1,0.8790752
ENSG00000008083,JARID2,0.9130049
ENSG00000008086,CDKL5,0.89479417
ENSG00000008118,CAMK1G,0.61552656
ENSG00000008128,CDK11A,0.15209568
ENSG00000008130,NADK,0.41602135
ENSG00000008196,TFAP2B,0.8955022
ENSG00000008197,TFAP2D,0.88089144
ENSG00000008226,DLEC1,0.20907235
ENSG00000008256,CYTH3,0.85639626
ENSG00000008277,ADAM22,0.76164603
ENSG00000008282,SYPL1,0.55845046
ENSG00000008283,CYB561,0.72528076
ENSG00000008294,SPAG9,0.917958
ENSG00000008300,CELSR3,0.8212938
ENSG00000008311,AASS,0.44393766
ENSG00000008323,PLEKHG6,0.20981294
ENSG00000008324,SS18L2,0.36314583
ENSG00000008382,MPND,0.39777195
ENSG00000008394,MGST1,0.22856903
ENSG00000008405,CRY1,0.52725416
ENSG00000008438,PGLYRP1,0.15338176
ENSG00000008441,NFIX,0.96590793
ENSG00000008513,ST3GAL1,0.73772305
ENSG00000008516,MMP25,0.15193647
ENSG00000008517,IL32,0.11628258
ENSG00000008710,PKD1,0.86226165
ENSG00000008735,MAPK8IP2,0.934103
ENSG00000008838,MED24,0.5325748
ENSG00000008853,RHOBTB2,0.73614705
ENSG00000008869,HEATR5B,0.5296645
ENSG00000008952,SEC62,0.8151108
ENSG00000008988,RPS20,0.714711
ENSG00000009307,CSDE1,0.9306105
ENSG00000009335,UBE3C,0.8865469
ENSG00000009413,REV3L,0.922923
ENSG00000009694,TENM1,0.8735414
ENSG00000009709,PAX7,0.775574
