ensembl,gene_symbol_x,obs_lof,exp_lof,UNEECON.G,protein_complex,transcript_factor,reactome_nervous_development,reactome_developmental_biology,GO_central_neurvous_development,GO_embryo_development,cpg_density,promoter_phastcons,exonic_phastcons,PPI_degree,gene_expression_level,tissue_specificity_tau,enhancer_number,h3k4me3,h2az,h3k27me3,h3k9ac,Gene ID,Essentiality test,VP,VN,CL,SP,DL,Organismal Essentiality test,gene_symbol_y,DeepLOF_score
ENSG00000001084,GCLC,8,36.041,1.57526254,1,0,0,0,0,0,1.151956596,-0.484203835,0.731469887,-0.697760003,0.539164631,-0.477284135,0.77136184,0.610592306,0.740787665,-0.163292328,0.53949935,ENSG00000001084,1,0,0,0,0,0,0,GCLC,0.7863235
ENSG00000001167,NFYA,6,23.288,2.179792491,1,0,0,0,0,0,1.418002788,1.20827013,1.152633589,1.749173048,0.681572116,-1.036665069,0.870829263,0.700775074,0.95010947,-1.271189166,0.915586617,ENSG00000001167,1,0,0,0,0,0,0,NFYA,0.8142838
ENSG00000001626,CFTR,84,77.046,-1.204711568,1,0,0,0,0,0,-0.585773084,0.639754478,0.594097332,-0.697760003,-0.58356228,1.308233207,-0.29854961,-0.000752722,-0.17153419,0.997389997,-0.200871477,ENSG00000001626,1,0,0,0,0,0,0,CFTR,0.047685146
ENSG00000001630,CYP51A1,14,21.651,-0.430865741,0,0,1,1,0,0,1.158851857,-0.654152709,0.969740041,-0.697760003,0.8509088,-0.623822344,0.470144348,0.549065211,0.488774839,-0.676294737,0.492293981,ENSG00000001630,1,0,0,0,0,0,0,CYP51A1,0.46317124
ENSG00000001631,KRIT1,14,43.834,0.845937473,1,0,0,0,0,0,0.345429859,0.367453656,1.311637117,-0.086027182,0.845606393,-0.985738854,0.382811689,0.59244151,0.553326779,-1.164483823,0.568976129,ENSG00000001631,1,0,0,0,0,1,1,KRIT1,0.69491875
ENSG00000002587,HS3ST1,5,9.4447,0.647997847,0,0,0,0,0,0,0.418230171,-1.130200868,0.23125976,-0.697760003,-0.41448907,0.094662158,0.676613729,0.533499903,0.49033891,0.880300121,0.369109112,ENSG00000002587,1,0,0,0,0,0,0,HS3ST1,0.58274597
ENSG00000002822,MAD1L1,30,41.985,-0.385855742,0,0,0,0,0,0,0.0,0.0,0.0,2.489036274,0.610697716,-0.80949429,-1.608553835,0.386575684,0.05044412,-1.373945247,0.645869728,ENSG00000002822,1,0,0,0,0,0,0,MAD1L1,0.31115788
ENSG00000003056,M6PR,6,15.53,0.515838052,0,0,0,0,0,0,-0.035952174,-1.144230419,0.615144347,0.883547281,1.555711679,-1.157531456,0.529947685,0.650994429,0.521472082,-1.203883462,0.602686094,ENSG00000003056,1,1,0,0,0,1,1,M6PR,0.6075101
ENSG00000003137,CYP26B1,1,16.349,0.328139833,0,0,0,0,0,1,0.0,0.0,0.0,-0.697760003,-0.418463131,0.271963436,0.434828202,0.862612799,0.947132128,1.528678971,0.562220239,ENSG00000003137,1,0,0,0,0,0,0,CYP26B1,0.8558175
ENSG00000003402,CFLAR,1,27.395,1.198783251,1,0,0,0,0,0,0.679193411,-0.6720085,-1.430579589,-0.086027182,1.211165046,-0.685101356,0.811142902,1.129242781,0.858483367,-0.379447322,1.063055826,ENSG00000003402,1,0,0,1,0,1,1,CFLAR,0.9144562
